time,number,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh
18:42:05.495715,0,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:05.554735,1,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:05.617718,2,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:05.817717,3,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.149716,4,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.175715,5,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.209714,6,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.242717,7,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.301724,8,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.311714,9,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.417732,10,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.627718,11,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.694714,12,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.867722,13,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.877715,14,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:06.960715,15,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:07.003716,16,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:07.009716,17,10.01,28.59,0.15,32888.25,12453.06,650064.37,12.77,19.13
18:42:07.084715,18,10.01,28.59,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.152240,19,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.160241,20,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.239241,21,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.246242,22,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.336244,23,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.341241,24,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.346243,25,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.387244,26,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.401243,27,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.532246,28,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.576242,29,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.606239,30,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.612240,31,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.670243,32,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.675240,33,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.721239,34,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.726243,35,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.769256,36,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.84
18:42:07.779240,37,9.88,28.26,0.15,32246.46,12246.42,622701.43,12.55,18.41
18:42:07.825243,38,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:07.830243,39,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:07.938247,40,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:07.943241,41,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:07.949267,42,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:07.970244,43,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:07.974238,44,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:07.981246,45,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.027240,46,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.054245,47,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.059241,48,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.086244,49,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.093242,50,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.123277,51,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.154240,52,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.193241,53,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.246241,54,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.301246,55,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.344241,56,9.82,27.76,0.15,31930.24,12144.37,583587.37,12.22,18.41
18:42:08.404249,57,9.82,27.76,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.449246,58,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.529241,59,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.640240,60,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.715273,61,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.827244,62,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.879243,63,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.920262,64,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.926241,65,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.953242,66,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.957240,67,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:08.988249,68,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.027251,69,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.060239,70,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.117239,71,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.166239,72,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.216239,73,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.268240,74,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.318240,75,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.370709,76,9.82,27.93,0.15,31930.24,12144.37,596373.81,12.33,18.56
18:42:09.421664,77,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.471656,78,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.535660,79,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.572658,80,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.635660,81,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.675655,82,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.728657,83,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.779657,84,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.833663,85,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.883667,86,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.932370,87,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:09.982855,88,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:10.034859,89,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:10.084267,90,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:10.135865,91,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:10.187996,92,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:10.239943,93,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:10.295039,94,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:10.342042,95,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.55,18.84
18:42:10.396039,96,10.01,28.26,0.15,32888.25,12453.06,622701.43,12.33,18.56
18:42:10.523039,97,10.01,27.93,0.15,32888.25,12453.06,596373.81,12.33,18.56
18:42:10.600042,98,10.01,27.93,0.15,32888.25,12453.06,596373.81,12.33,18.56
