time,number,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh
13:21:21.609140,0,6052.70,284.20,0.12,178676416.00,25288628.00,11622489.00,142.41,203.77
13:21:21.961089,1,6052.70,276.29,0.12,178676416.00,25288628.00,10483899.00,136.41,196.35
13:21:22.287952,2,6052.70,273.65,0.12,178676416.00,25288628.00,10104369.00,134.41,193.87
13:21:22.628708,3,6052.70,273.65,0.12,178676416.00,25288628.00,10104369.00,134.41,193.87
13:21:22.970706,4,6052.70,271.42,0.12,178676416.00,25288628.00,9804941.00,132.47,191.46
13:21:23.306499,5,6052.70,270.68,0.12,178676416.00,25288628.00,9705131.00,132.20,191.11
13:21:23.644489,6,6052.70,270.68,0.12,178676416.00,25288628.00,9705131.00,132.20,191.11
13:21:23.985491,7,6052.70,268.48,0.12,178676416.00,25288628.00,9368392.00,130.28,188.72
13:21:24.325808,8,6052.70,267.74,0.12,178676416.00,25288628.00,9320287.00,130.01,188.38
13:21:24.668330,9,6052.70,267.74,0.12,178676416.00,25288628.00,9320287.00,130.01,188.38
13:21:25.004328,10,6182.30,265.18,0.12,184480656.00,25984256.00,8995734.00,128.12,185.68
13:21:25.392406,11,6200.82,264.82,0.12,185309840.00,26083632.00,8949369.00,127.85,185.68
13:21:25.684402,12,6200.82,264.82,0.12,185309840.00,26083632.00,8949369.00,127.85,185.68
13:21:26.024401,13,6335.28,267.37,0.12,191406768.00,26914048.00,9320287.00,130.01,188.38
13:21:26.366402,14,6354.49,267.74,0.12,192277744.00,26914048.00,9320287.00,130.01,188.38
13:21:26.702764,15,6354.49,267.74,0.12,192277744.00,26914048.00,9320287.00,130.01,188.38
13:21:27.041197,16,6354.49,284.20,0.12,192277744.00,26914048.00,11622489.00,142.41,203.77
13:21:27.381809,17,6354.49,284.20,0.12,192277744.00,26914048.00,11622489.00,142.41,203.77
13:21:27.721655,18,6354.49,284.20,0.12,192277744.00,26914048.00,11622489.00,142.41,203.77
13:21:28.062780,19,6514.00,284.20,0.12,199601280.00,27781972.00,11622489.00,142.41,203.77
